07rv,651,
32gun,912,
aggravated assault,6021,
aircraft,25,
argue,2913,
arrest,2154,
arson,35,
auto theft,4899,
ballist,878,
benoprop,1433,
biothreat,4,
bomb,174,
burgtools,60,
commercial burglary,1615,
crimes against children,608,
death investigation,1003,
disorderly,1963,
drug charges,12792,
embezellment,230,
explos,47,
fire,1977,
forgery,1274,
fraud,9185,
gambling offense,14,
gather,1027,
harass,429,
harbor,262,
hatecrim,39,
hazardous,711,
homicide,148,
invper,13911,
invprop,7107,
invveh,55,
labor,11,
landlord,1036,
larceny from motor vehicle,13567,
licviol,1411,
manslaug,8,
medassist,17782,
mvacc,14651,
operating under influence,755,
other,2225,
other larceny,25341,
persloc,4963,
persmiss,1284,
phonecalls,1594,
plates,438,
prison,188,
propdam,747,
propfound,4558,
proplost,8979,
prostitution charges,371,
pubdrink,1256,
residential burglary,7173,
restrain,775,
robbery,5226,
runaway,34,
searchwarr,813,
service,5560,
sexreg,812,
simple assault,18485,
skipfare,469,
stolen property charges,846,
towed,8045,
trespass,1238,
val,28497,
vandalism,14150,
violation of liquor laws,564,
weapons charge,1218,
ndalism,14150,1
violation of liquor laws,564,0
weapons charge,1218,1
